Site,Site_ID_Mer,Site_ID,Year,Birds,FrogsToads,Mammals,NewtsSalamanders,Snakes,Turtles,RoadWidth,Ditch,Length,Road.Area,Bird,Frog,Mammal,Newt.Salamander,Snake,Turtle,Sum.of.Forest.Area.A..Ha..x,Sum.of.Forest.Area.B..Ha..x,Forest.Ratio,Total.Forest,Sum.of.Meadow.Area.A..Ha..x,Sum.of.Meadow.Area.B..Ha..x,Meadow.Ratio,Total.Meadow,Sum.of.Wetland.Area.A..Ha..x,Sum.of.Wetland.Area.B..Ha..x,Wetland.Ratio,Total.Wetland,Habitat.Area,Forest.Percent,Meadow.Percent,Wetland.Percent
"39,40",23_24_25_39_40_52,13,2016,7,9,20,0,3,0,12.09090909,1,943,11401.72727,0.000613942,0.000789354,0.00175412,0,0.000263118,0,1.396182589,4.618974962,0.426444788,6.015157551,8.659900853,2.632668316,2.659175023,11.29256917,1.566687769,1.175979421,1.179555167,2.742667191,20.05039391,30.0001964,56.32093425,13.67886937
52,23_24_25_39_40_52,13,2018,10,47,13,0,1,0,10.72727273,1,640.6449875,6872.373504,0.001455101,0.006838976,0.001891632,0,0.00014551,0,6.063904857,7.040523084,0.878537974,13.10442794,1.169260848,3.956915118,0.437623158,5.126175967,1.002962927,3.654400265,0.43033749,4.657363192,22.8879671,57.25466086,22.39681639,20.34852275
52,23_24_25_39_40_52,13,2019,10,165,14,0,2,2,10.72727273,1,640.6449875,6872.373504,0.001455101,0.024009172,0.002037142,0,0.00029102,0.00029102,6.063904857,7.040523084,0.878537974,13.10442794,1.169260848,3.956915118,0.437623158,5.126175967,1.002962927,3.654400265,0.43033749,4.657363192,22.8879671,57.25466086,22.39681639,20.34852275
"27,28",27_28,14,2015,0,23,2,0,1,0,10.86363636,1,1110,12058.63636,0,0.001907347,0.000165856,0,8.29E-05,0,41.90987245,19.94729807,2.048468127,61.85717053,6.675643355,6.117079631,1.078482152,12.79272299,2.811468675,0.911749582,1.993707079,3.723218256,78.37311177,78.92652101,16.32284683,4.750632164
"27,28",27_28,14,2016,1,24,0,1,1,3,10.86363636,1,1110,12058.63636,8.29E-05,0.001990275,0,8.29E-05,8.29E-05,0.000248784,41.90987245,19.94729807,2.048468127,61.85717053,6.675643355,6.117079631,1.078482152,12.79272299,2.811468675,0.911749582,1.993707079,3.723218256,78.37311177,78.92652101,16.32284683,4.750632164
"30,31",30_31_32_33_58,15,2016,2,7,0,0,0,1,8.318181818,0,1200,9981.818182,0.000200364,0.000701275,0,0,0,0.000100182,35.55043432,40.87074497,0.872934894,76.42117928,2.670903788,4.94511505,0.617465559,7.616018839,3.618121858,8.981672556,0.462660124,12.59979441,96.63699254,79.08066805,7.881059456,13.03827249
"32,33",30_31_32_33_58,15,2016,3,123,17,8,2,9,9.272727273,1,600,5563.636364,0.000539216,0.022107843,0.003055556,0.001437908,0.000359477,0.001617647,41.74250563,47.47906107,0.881669419,89.22156669,9.915163512,2.836924214,2.844769118,12.75208773,0.804783633,1.800125876,0.644536608,2.604909509,104.5785639,85.31534892,12.19378738,2.490863722
58,30_31_32_33_58,15,2018,30,1008,81,21,18,21,10.40350877,1,5587.622392,58130.87856,0.000516077,0.017340182,0.001393407,0.000361254,0.000309646,0.000361254,197.6262573,206.6886787,0.956365357,404.314936,38.393514,13.97200731,2.631144454,52.3655213,6.492991105,4.74156657,1.305042973,11.23455768,467.915015,86.40777129,11.19124619,2.400982512
58,30_31_32_33_58,15,2019,27,1293,57,45,34,25,10.40350877,1,5587.622392,58130.87856,0.000464469,0.022242912,0.000980546,0.000774115,0.000584887,0.000430064,197.6262573,206.6886787,0.956365357,404.314936,38.393514,13.97200731,2.631144454,52.3655213,6.492991105,4.74156657,1.305042973,11.23455768,467.915015,86.40777129,11.19124619,2.400982512
"34,35",34_35_51,16,2016,3,9,5,0,1,0,9.409090909,0,760,7150.909091,0.000419527,0.001258581,0.000699212,0,0.000139842,0,3.788831858,10.11415716,0.430876745,13.90298901,1.251304849,0.007239188,2.235124364,1.258544037,2.147215965,1.308813222,1.363131472,3.456029188,18.61756224,74.67674248,6.759982971,18.56327452
51,34_35_51,16,2018,6,1763,12,19,20,7,8.894736842,0,1837.063418,16340.19567,0.000367193,0.107893445,0.000734385,0.001162777,0.001223976,0.000428391,56.39906932,55.06379096,1.023817126,111.4628603,1.394630861,0.506876854,1.589135074,1.901507716,11.39881239,10.05634114,1.121420932,21.45515354,134.8195215,82.67560889,1.41040978,15.91398137
51,34_35_51,16,2019,11,620,31,10,29,8,8.894736842,0,1837.063418,16340.19567,0.000673187,0.037943242,0.001897162,0.000611988,0.001774765,0.00048959,56.39906932,55.06379096,1.023817126,111.4628603,1.394630861,0.506876854,1.589135074,1.901507716,11.39881239,10.05634114,1.121420932,21.45515354,134.8195215,82.67560889,1.41040978,15.91398137
"41,42",41_42,17,2016,20,87,23,0,4,4,10.77272727,1,1072,11548.36363,0.001731847,0.007533535,0.001991624,0,0.000346369,0.000346369,5.300046641,2.881425274,1.623127124,8.181471915,5.837652606,6.902905628,0.865207422,12.74055823,1.720926287,2.907485876,0.696336819,4.628412164,25.55044231,32.02086217,49.86433532,18.11480251
"44,54,55",44_54_55,18,2016,0,34,7,0,2,0,9.575757576,1,2349.267753,22496.01848,0,0.001511379,0.000311166,0,8.89E-05,0,10.1615248,17.1820473,0.613876128,27.3435721,13.91140451,7.037334373,1.855267408,20.94873888,1.563327727,0.014297473,2.527195222,1.5776252,49.86993618,54.82977159,42.00674892,3.163479485
"44,54,55",44_54_55,18,2018,3,487,9,1,7,0,9.575757576,1,2349.267753,22496.01848,0.000133357,0.021648275,0.000400071,4.45E-05,0.000311166,0,10.1615248,17.1820473,0.613876128,27.3435721,13.91140451,7.037334373,1.855267408,20.94873888,1.563327727,0.014297473,2.527195222,1.5776252,49.86993618,54.82977159,42.00674892,3.163479485
"44,54,55",44_54_55,18,2019,21,1282,17,0,37,6,9.575757576,1,2349.267753,22496.01848,0.000933499,0.056987862,0.000755689,0,0.001644735,0.000266714,10.1615248,17.1820473,0.613876128,27.3435721,13.91140451,7.037334373,1.855267408,20.94873888,1.563327727,0.014297473,2.527195222,1.5776252,49.86993618,54.82977159,42.00674892,3.163479485
"45,46",45_46,19,2016,4,50,6,0,9,1,11.63636364,1,1036,12055.27273,0.000331805,0.004147563,0.000497708,0,0.000746561,8.30E-05,40.14844595,50.34117319,0.801470699,90.48961915,8.257149216,4.485306407,1.687626639,12.74245562,0,1.084512886,0.479728385,1.084512886,104.3165877,86.74518707,12.2151768,1.039636083
47,47_48_49_50,20,2016,2,31,9,0,1,1,11.54545455,1,599.9975573,6927.244528,0.000288715,0.004475084,0.001299218,0,0.000144358,0.000144358,2.043306549,13.45361781,0.210556733,15.49692436,6.777411167,4.190938131,1.498266974,10.9683493,0.636244819,3.2925253,0.381184665,3.928770119,30.39404378,50.98671461,36.08716688,12.92611851
"48,49,50",47_48_49_50,20,2016,4,168,27,0,7,4,8.818181818,1,1474,12998,0.00030774,0.012925065,0.002077243,0,0.000538544,0.00030774,24.75290931,11.22153835,2.107174119,35.97444766,3.975348061,0.281761177,3.881649835,4.257109238,1.295249494,3.121770755,0.556860056,4.417020249,44.64857715,80.57243916,9.534703029,9.892857804
5,5_6_7,21,2015,1,38,3,0,2,0,10,1,599.9996825,5999.996825,0.000166667,0.006333337,5.00E-04,0,0.000333334,0,6.479858185,0,7.479858185,6.479858185,1.03407147,2.260713336,0.623811804,3.294784806,0.097617121,0,1.097617121,0.097617121,9.872260112,65.63702852,33.37416933,0.988802158
"6,7",5_6_7,21,2015,4,176,36,0,13,2,9.727272727,1,921,8958.818182,0.000446487,0.019645448,0.004018387,0,0.001451084,0.000223244,11.39799415,19.52670648,0.603993347,30.92470062,4.415489806,12.34662945,0.405757111,16.76211925,0.538584167,0,1.538584167,0.778522914,48.22540404,64.12533235,34.75786172,1.614341921
"8,9",8_9,22,2015,0,26,8,0,6,0,7.636363636,1,1010,7712.727272,0,0.003371051,0.001037247,0,0.000777935,0,16.81297434,18.1904295,0.928221765,35.00340384,1.599996739,0.867834219,1.391984745,2.467830958,0.246806028,0,1.246806028,0.360230171,37.71804083,92.8028155,6.542839723,0.955060663
43,19_20_43,23,2016,9,16,8,0,0,0,8.090909091,1,599.9913237,4854.475255,0.001853959,0.003295928,0.001647964,0,0,0,5.364282994,1.751455767,2.313060261,7.11573876,2.628425716,3.966089678,0.730640393,6.594515395,0.458466903,0.367283975,1.066689093,0.825750878,14.53600503,48.95250618,45.36676605,5.680727795
